Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;11;Material;170050-90001/2022;Processo licitatório consolidado para aquisição de material permanente;CNBS (Catálogo Nacional de Bens e Serviços);Material;5805;EQUIPAMENTO TELEFÔNICO E TELEGRÁFICO;1174;APARELHO TELEFÔNICO SEM FIO;457622;FUNÇÃO: TECLAS FLASH/MEMORY E REDIAL, VOLTAGEM BATERIA: 7,5, SINALIZAÇÃO LINHA: PULSO E TOM, DURAÇÃO FLASH: FLASH PROGRAMÁVEL, FAIXA OPERAÇÃO: 1,9, CARACTERÍSTICAS ADICIONAIS: 1 FONE/1 BASE/1 BATERIA/1 CABO DE LINHA/1 ADAPTADO, ALIMENTAÇÃO: 110/220;UN;4,0000;149,0000;596,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;12;Material;170050-90001/2022;Processo licitatório consolidado para aquisição de material permanente;CNBS (Catálogo Nacional de Bens e Serviços);Material;7730;FONÓGRAFOS, RÁDIOS E TELEVISORES DE TIPO DOMÉSTICO;12609;TELEVISOR;443965;CARACTERÍSTICAS ADICIONAIS: SMART TV, FULL HD, ENTRADAS HDMI/USB, CONVERSOR DI, TAMANHO TELA: 50, TIPO TELA: LED, VOLTAGEM: BIVOLT, ACESSÓRIOS: CONTROLE REMOTO;UN;1,0000;2700,0000;2700,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;13;Material;170050-90001/2022;Processo licitatório consolidado para aquisição de material permanente;CNBS (Catálogo Nacional de Bens e Serviços);Material;7105;MOBILIÁRIO DOMÉSTICO;12395;SUPORTE DE VIDEOCASSETE / TELEVISAO;440646;MATERIAL: METÁLICO, TAMANHO: PARA TV DE 32" A 65", CARACTERÍSTICAS ADICIONAIS: SUPORTE PEDESTAL COM RODAS, ALTURA REGULÁVEL;UN;1,0000;795,0000;795,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;14;Material;170050-90001/2022;Processo licitatório consolidado para aquisição de material permanente;CNBS (Catálogo Nacional de Bens e Serviços);Material;7490;MÁQUINAS DIVERSAS PARA ESCRITÓRIO;292;FRAGMENTADORA PAPEL;449962;MATERIAL: METAL/PLÁSTICO ABS, ABERTURA: 230, TENSÃO MOTOR: 110/220, CAPACIDADE LIXEIRA: 25, TIPO: AUTOMÁTICA, CARACTERÍSTICAS ADICIONAIS: PAPEIS, GRAMPOS, CARTÃO, CD, CAPACIDADE FRAGMENTAÇÃO: 15, NÍVEL RUÍDO: 65;UN;1,0000;1050,0000;1050,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;15;Material;170050-90001/2022;Processo licitatório consolidado para aquisição de material permanente;CNBS (Catálogo Nacional de Bens e Serviços);Material;7110;MOBILIÁRIO PARA ESCRITÓRIO;313;CADEIRA ESCRITÓRIO;399298;MATERIAL ESTRUTURA: TUBO AÇO, MATERIAL REVESTIMENTO ASSENTO E ENCOSTO: TECIDO, MATERIAL ENCOSTO: ESPUMA POLIURETANO INJETADO, MATERIAL ASSENTO: ESPUMA POLIURETANO INJETADO, TIPO BASE: FIXA, CONTÍNUA, TIPO ENCOSTO: ESPALDAR MÉDIO, APOIO BRAÇO: COM BRAÇOS, ACABAMENTO SUPERFICIAL ESTRUTURA: PINTURA EM EPÓXI PÓ;UN;10,0000;650,0000;6500,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;32;Material;170050-90003/2022;Processo licitatório consolidado para aquisição de material de consumo;CNBS (Catálogo Nacional de Bens e Serviços);Material;7340;CUTELARIA E TALHERES;12501;TALHER DESCARTÁVEL;310970;MATERIAL: PLÁSTICO, APLICAÇÃO: COPA E COZINHA, COR: CRISTAL, TIPO: COLHER;UN;7,0000;76,3100;534,1700;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;16;Material;170050-90001/2022;Processo licitatório consolidado para aquisição de material permanente;CNBS (Catálogo Nacional de Bens e Serviços);Material;5805;EQUIPAMENTO TELEFÔNICO E TELEGRÁFICO;1174;APARELHO TELEFÔNICO SEM FIO;457622;FUNÇÃO: TECLAS FLASH/MEMORY E REDIAL, VOLTAGEM BATERIA: 7,5, SINALIZAÇÃO LINHA: PULSO E TOM, DURAÇÃO FLASH: FLASH PROGRAMÁVEL, FAIXA OPERAÇÃO: 1,9, CARACTERÍSTICAS ADICIONAIS: 1 FONE/1 BASE/1 BATERIA/1 CABO DE LINHA/1 ADAPTADO, ALIMENTAÇÃO: 110/220;UN;3,0000;149,0000;447,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;17;Material;170050-90001/2022;Processo licitatório consolidado para aquisição de material permanente;CNBS (Catálogo Nacional de Bens e Serviços);Material;7110;MOBILIÁRIO PARA ESCRITÓRIO;340;MESA REUNIÃO OVAL;416576;ALTURA: 73, MATERIAL ESTRUTURA BASE: AÇO, TIPO ESTRUTURA BASE: SAPATAS REGULADORAS DE NÍVEL, ACABAMENTO BORDAS: PVC, COMPRIMENTO: 240, LARGURA: 120, CARACTERÍSTICAS ADICIONAIS: BASE 2 PEDESTAIS CONTRAVENTADO POR PAINEL EM MDF 1, MATERIAL TAMPO: MADEIRA MDF, REVESTIMENTO TAMPO: LAMINADO MELAMÍNICO, TIPO REVESTIMENTO: LAMINADO MELAMÍNICO, ESPESSURA TAMPO: 25, ACABAMENTO SUPERFICIAL ESTRUTURA: PINTURA ELETROSTÁTICA EM EPÓXI;UN;1,0000;898,0000;898,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;18;Material;170050-90001/2022;Processo licitatório consolidado para aquisição de material permanente;CNBS (Catálogo Nacional de Bens e Serviços);Material;5340;FERRAGENS DIVERSAS;15828;SUPORTE FIXAÇÃO PROJETOR;347169;MATERIAL: FERRO, APLICAÇÃO: FIXAÇÃO PROJETOR MULTIMÍDIA, COR: BRANCA, TIPO: DE TETO, CARACTERÍSTICAS ADICIONAIS: BASE TUBULAR/REGULÁVEL/TRÊS PARAFUSOS DE FIXAÇÃO;UN;1,0000;138,8000;138,8000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;19;Material;170050-90001/2022;Processo licitatório consolidado para aquisição de material permanente;CNBS (Catálogo Nacional de Bens e Serviços);Material;7110;MOBILIÁRIO PARA ESCRITÓRIO;313;CADEIRA ESCRITÓRIO;460542;TIPO SISTEMA REGULAGEM VERTICAL: A GÁS, COR: PRETA, CARACTERÍSTICAS ADICIONAIS: ENCOSTO EM TELA, MATERIAL ESTRUTURA: TUBO AÇO, COR ESTRUTURA: PRETA, MATERIAL REVESTIMENTO ASSENTO E ENCOSTO: COURO ECOLÓGICO E POLIÉSTER, MATERIAL ENCOSTO: 100 % POLIÉSTER, MATERIAL ASSENTO: ESPUMA POLIURETANO INJETADO, TRATAMENTO SUPERFICIAL ESTRUTURA: PINTURA EM EPOXI PRETO, TIPO BASE: GIRATÓRIA COM 5 RODÍZIOS, TIPO ENCOSTO: REGULÁVEL, APOIO BRAÇO: COM BRAÇOS REGULÁVEIS;UN;10,0000;1490,0000;14900,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;20;Material;170050-90001/2022;Processo licitatório consolidado para aquisição de material permanente;CNBS (Catálogo Nacional de Bens e Serviços);Material;4120;EQUIPAMENTO DE AR CONDICIONADO;13768;APARELHO AR CONDICIONADO;355742;CAPACIDADE REFRIGERAÇÃO: 12.000, MODELO: HI WALL, NÍVEL RUÍDO INTERNO: 57, CARACTERÍSTICAS ADICIONAIS 1: CICLO FRIO, SELO PROCEL, CONTROLE REMOTO SEM FIO, TIPO: SPLIT, TENSÃO: 220;UN;2,0000;1500,0000;3000,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;21;Material;170050-90001/2022;Processo licitatório consolidado para aquisição de material permanente;CNBS (Catálogo Nacional de Bens e Serviços);Material;8345;BANDEIRAS, FLAMULAS E PAVILHOES;1581;BANDEIRA INSTITUCIONAL;474454;MATERIAL: NÁILON, COMPRIMENTO: 180, LARGURA: 257, CARACTERÍSTICAS ADICIONAIS: 04 PANOS COM COSTURAS REFORÇADAS, REPRESENTAÇÃO: NACIONAL DO BRASIL;UN;2,0000;400,0000;800,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;22;Material;170050-90001/2022;Processo licitatório consolidado para aquisição de material permanente;CNBS (Catálogo Nacional de Bens e Serviços);Material;2610;PNEUS E CÂMARAS DE AR, EXCETO OS DE AERONAVES;577;PNEU VEÍCULO AUTOMOTIVO;316808;MATERIAL BANDA RODAGEM: BORRACHA ALTA RESISTÊNCIA, CARACTERÍSTICAS ADICIONAIS: SEM CÂMERA, 225/75 R 16, MODELO: RADIAL;UN;4,0000;1300,0000;5200,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;23;Serviço;170050-90002/2022;Contratação de serviços de recarga de extintores, com fornecimento de material;CNBS (Catálogo Nacional de Bens e Serviços);Material;4210;EQUIPAMENTOS PARA COMBATE A INCÊNDIO;4543;CARGA EXTINTOR INCÊNDIO;63223;NOME: CARGA DE EXTINTOR DE INCENDIO;UN;74,0000;35,5700;2632,1800;0,0000;01/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;24;Serviço;170050-90002/2022;Contratação de serviços de recarga de extintores, com fornecimento de material;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;872;SERVIÇOS DE REPARO DE OUTROS BENS;;;3662;MANUTENÇÃO EXTINTORES / MANGUEIRAS - COMBATE INCÊNDIO;UN;15,0000;10,6700;160,0500;0,0000;01/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;25;Serviço;170050-90009/2022;Contratação de serviços de fabricação e fornecimento de placas de sinalização;CNBS (Catálogo Nacional de Bens e Serviços);Material;9515;PLACAS, CHAPAS, FITAS E LAMINADOS FINOS DE FERRO E DE AÇO;4844;CHAPA GALVANIZADA;481697;MATERIAL: AÇO, COMPRIMENTO: 2, LARGURA: 1, ESPESSURA: 0,76, TIPO: 22, CARACTERÍSTICAS ADICIONAIS: MSG;UN;35,0000;978,0000;34230,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;26;Material;170050-90003/2022;Processo licitatório consolidado para aquisição de material de consumo;CNBS (Catálogo Nacional de Bens e Serviços);Material;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;6138;DETERGENTE LIMPEZA VEÍCULO;446182;ASPECTO FÍSICO: SEMIPASTOSO, CARACTERÍSTICAS ADICIONAIS: LAVAGEM  DE VEICULOS E SUPERFICIES PINTADAS, COMPOSIÇÃO: SHAMPOO AUTOMOTIVO C/ CERA;GL;10,0000;37,0700;370,7000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;27;Material;170050-90003/2022;Processo licitatório consolidado para aquisição de material de consumo;CNBS (Catálogo Nacional de Bens e Serviços);Material;7350;LOUÇA E ARTIGOS DE MESA;5849;COPO DESCARTÁVEL;419309;MATERIAL: POLIESTIRENO, APLICAÇÃO: CAFÉ, CAPACIDADE: 50, COR: BRANCO, CARACTERÍSTICAS ADICIONAIS: ATÓXICO, DE ACORDO C/ NORMA ABNT, NBR 14865;C;400,0000;2,4900;996,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;28;Material;170050-90003/2022;Processo licitatório consolidado para aquisição de material de consumo;CNBS (Catálogo Nacional de Bens e Serviços);Material;7490;MÁQUINAS DIVERSAS PARA ESCRITÓRIO;292;FRAGMENTADORA PAPEL;345143;MATERIAL: PLÁSTICO RESISTENTE, CAPACIDADE FRAGMENTAÇÃO: 27, TENSÃO MOTOR: 220, DIMENSÕES PICOTE: 4 X 40, VELOCIDADE OPERAÇÃO: 8,5, ABERTURA: 230, CAPACIDADE LIXEIRA: 40, POTÊNCIA: MÍNIMA DE 900, TIPO: AUTOMÁTICA, CARACTERÍSTICAS ADICIONAIS: FRAGMENTA DISQUETE/CD/DVD/CLIPE/GRAMPO/CARTÃO CRÉ-;UN;1,0000;4000,0000;4000,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;29;Material;170050-90003/2022;Processo licitatório consolidado para aquisição de material de consumo;CNBS (Catálogo Nacional de Bens e Serviços);Material;8925;AÇÚCAR, CONFEITOS, CASTANHAS, NOZES E SIMILARES;2063;"AÇÚCAR";353155;TIPO: REFINADO, CARACTERÍSTICAS ADICIONAIS: BRANCO, 1ª QUALIDADE;PCT;40,0000;3,9000;156,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;30;Material;170050-90003/2022;Processo licitatório consolidado para aquisição de material de consumo;CNBS (Catálogo Nacional de Bens e Serviços);Material;8955;CAFÉ, CHÁ E CHOCOLATE;19766;CAFÉ;463591;APRESENTAÇÃO: TORRADO MOÍDO, INTENSIDADE: MÉDIA, TIPO: TRADICIONAL, EMPACOTAMENTO: VÁCUO, PRAZO VALIDADE MÍNIMO: 12 MESES;PCT;60,0000;9,7000;582,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;31;Material;170050-90003/2022;Processo licitatório consolidado para aquisição de material de consumo;CNBS (Catálogo Nacional de Bens e Serviços);Material;7340;CUTELARIA E TALHERES;12501;TALHER DESCARTÁVEL;260613;MATERIAL: PLÁSTICO, APLICAÇÃO: COPA E COZINHA, COR: BRANCO TRANSPARENTE, TIPO: MEXEDOR DE CAFEZINHO;PCT;14,0000;15,0300;210,4200;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;33;Material;170050-90003/2022;Processo licitatório consolidado para aquisição de material de consumo;CNBS (Catálogo Nacional de Bens e Serviços);Material;7920;VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES;10344;PANO LIMPEZA;226958;MATERIAL: 100% ALGODÃO, COMPRIMENTO: 64, LARGURA: 40, CARACTERÍSTICAS ADICIONAIS: ESTAMPADO, ALVEJADO COM BAINHA;UN;20,0000;6,8000;136,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;34;Material;170050-90003/2022;Processo licitatório consolidado para aquisição de material de consumo;CNBS (Catálogo Nacional de Bens e Serviços);Material;8145;RECIPIENTES ESPECIALIZADOS PARA TRANSPORTE E ARMAZENAGEM;7824;FRASCO;474431;MATERIAL: PET, APLICAÇÃO: ARMAZENAR PRODUTOS DE HIGIENE, CAPACIDADE: 500, CARACTERÍSTICAS ADICIONAIS: COM VÁLVULA PUMP;UN;40,0000;5,1200;204,8000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;35;Material;170050-90003/2022;Processo licitatório consolidado para aquisição de material de consumo;CNBS (Catálogo Nacional de Bens e Serviços);Material;7920;VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES;7042;ESPONJA LIMPEZA;481092;MATERIAL: ESPUMA, ESPESSURA MÍNIMA: 5, COMPRIMENTO MÍNIMO: 25, APLICAÇÃO: LIMPEZA GERAL, ABRASIVIDADE: MÉDIA, LARGURA MÍNIMA: 7,5, CARACTERÍSTICAS ADICIONAIS: TODA FACE MACIA, FORMATO: RETANGULAR;UN;10,0000;18,2800;182,8000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;36;Material;170050-90003/2022;Processo licitatório consolidado para aquisição de material de consumo;CNBS (Catálogo Nacional de Bens e Serviços);Material;7240;RECEPIENTES PARA USO DOMÉSTICO E COMERCIAL;6294;DISPENSER PARA COPO PLÁSTICO;294419;MATERIAL: AÇO INOXIDÁVEL, USO: COPOS DESCARTÁVEIS, MATERIAL EXTREMIDADE: INOX, CAPACIDADE COPO: 50;UN;7,0000;33,5400;234,7800;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;37;Material;170050-90003/2022;Processo licitatório consolidado para aquisição de material de consumo;CNBS (Catálogo Nacional de Bens e Serviços);Material;7240;RECEPIENTES PARA USO DOMÉSTICO E COMERCIAL;3819;BORRIFADOR;272254;MATERIAL: PLÁSTICO, APLICAÇÃO: ACONDICIONAR SOLUÇÃO REVELADORA, CAPACIDADE: 500, TIPO: SPRAY, CONTENDO BICO BORRIFADOR;UN;30,0000;7,6300;228,9000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;38;Material;170050-90003/2022;Processo licitatório consolidado para aquisição de material de consumo;CNBS (Catálogo Nacional de Bens e Serviços);Material;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;715;ÁLCOOL ETÍLICO LIMPEZA DE AMBIENTES;481012;APLICAÇÃO: LIMPEZA, TIPO: ETÍLICO, CARACTERÍSTICAS ADICIONAIS: LÍQUIDO, CONCENTRAÇÃO: 70%;FR;85,0000;8,1500;692,7500;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;39;Material;170050-90003/2022;Processo licitatório consolidado para aquisição de material de consumo;CNBS (Catálogo Nacional de Bens e Serviços);Material;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;6136;DETERGENTE;310039;APLICAÇÃO: LAVAGEM DE LOUÇA, COMPONENTE ATIVO: LINEAR ALQUIBENZENO SULFONATO DE SÓDIO, CARACTERÍSTICAS ADICIONAIS: CONTÉM TENSOATIVO BIODEGRADÁVEL, COMPOSIÇÃO: TENSOATIVOS ANIÔNICOS/PRESERVANTES E ESPESSANTES;EMB;310,0000;1,5600;483,6000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;40;Material;170050-90003/2022;Processo licitatório consolidado para aquisição de material de consumo;CNBS (Catálogo Nacional de Bens e Serviços);Material;7240;RECEPIENTES PARA USO DOMÉSTICO E COMERCIAL;3819;BORRIFADOR;307885;MATERIAL: PLÁSTICO, TIPO: SPRAY, CONTENDO BICO BORRIFADOR, APLICAÇÃO: MATERIAL DE LIMPEZA;UN;50,0000;9,5800;479,0000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;41;Material;170050-90003/2022;Processo licitatório consolidado para aquisição de material de consumo;CNBS (Catálogo Nacional de Bens e Serviços);Material;7920;VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES;7042;ESPONJA LIMPEZA;454957;MATERIAL: POLIURETANO, ESPESSURA MÍNIMA: 23, COMPRIMENTO MÍNIMO: 110, APLICAÇÃO: PEÇAS DE VIDRO, INOX E SUPERFÍCIES ANTIADERENTES, LARGURA MÍNIMA: 74, CARACTERÍSTICAS ADICIONAIS: VERDE AMARELA, MANTA NÃO TECIDO, FIBRAS SINTÉTICAS, FORMATO: RETANGULAR;EMB;230,0000;0,7700;177,1000;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - PB;170050;42;Material;170050-90003/2022;Processo licitatório consolidado para aquisição de material de consumo;CNBS (Catálogo Nacional de Bens e Serviços);Material;7240;RECEPIENTES PARA USO DOMÉSTICO E COMERCIAL;3255;DISPENSER HIGIENIZADOR;469570;MATERIAL: PLÁSTICO ABS, APLICAÇÃO: MÃOS, CAPACIDADE: 400, COR: BRANCA, CARACTERÍSTICAS ADICIONAIS: VISOR FRONTAL PARA ÁLCOOL GEL OU SABONETE LÍQUIDO, TIPO FIXAÇÃO: PAREDE;UN;36,0000;31,2500;1125,0000;0,0000;30/06/2023
